city,latitude,longitude,timestamp,timezone,timezone_offset,datetime,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,weather_id,weather_name,weather_description,rain_1h,snow_1h
Birmingham,33.5207,-86.8025,1751346000,America/Chicago,-18000,1751346000,1751366452,1751418065,73.71,75.2,1017,94,71.87,100,0.0,10000,3.44,,170,804,Clouds,overcast clouds,0.0,0
Birmingham,33.5207,-86.8025,1751360400,America/Chicago,-18000,1751360400,1751366452,1751418065,73.15,74.71,1015,97,72.25,100,0.0,10000,0.0,,0,804,Clouds,overcast clouds,0.0,0
Birmingham,33.5207,-86.8025,1751374800,America/Chicago,-18000,1751374800,1751366452,1751418065,74.53,76.15,1017,95,73.0,100,1.43,10000,5.75,,150,804,Clouds,overcast clouds,0.0,0
Birmingham,33.5207,-86.8025,1751389200,America/Chicago,-18000,1751389200,1751366452,1751418065,87.35,99.0,1016,71,76.78,75,10.18,10000,3.44,,0,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751403600,America/Chicago,-18000,1751403600,1751366452,1751418065,84.54,92.01,1014,71,74.1,75,4.66,10000,8.68,11.39,288,211,Thunderstorm,thunderstorm,0.0,0
Birmingham,33.5207,-86.8025,1751418000,America/Chicago,-18000,1751418000,1751366452,1751418065,75.18,76.91,1013,96,73.96,15,0.0,10000,2.86,3.11,313,801,Clouds,few clouds,0.0,0
Miami,25.7743,-80.1937,1751346000,America/New_York,-14400,1751346000,1751365976,1751415368,79.09,79.09,1020,77,71.26,100,0.0,10000,5.75,,30,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1751360400,America/New_York,-14400,1751360400,1751365976,1751415368,75.22,76.86,1018,94,73.36,100,0.0,10000,4.61,,250,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1751374800,America/New_York,-14400,1751374800,1751365976,1751415368,82.58,90.23,1019,80,75.78,75,2.04,10000,4.61,,40,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751389200,America/New_York,-14400,1751389200,1751365976,1751415368,79.7,79.7,1019,79,72.61,75,11.26,10000,16.11,,130,211,Thunderstorm,thunderstorm,4.21,0
Miami,25.7743,-80.1937,1751403600,America/New_York,-14400,1751403600,1751365976,1751415368,85.86,98.46,1018,80,78.96,75,3.59,10000,9.22,,140,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751418000,America/New_York,-14400,1751418000,1751365976,1751415368,82.04,90.21,1018,85,77.07,75,0.0,10000,6.91,,130,803,Clouds,broken clouds,0.0,0
New York,40.7143,-74.006,1751346000,America/New_York,-14400,1751346000,1751362115,1751416259,76.24,77.85,1012,91,73.42,40,0.0,10000,3.0,5.01,295,802,Clouds,scattered clouds,0.0,0
New York,40.7143,-74.006,1751360400,America/New_York,-14400,1751360400,1751362115,1751416259,73.8,75.29,1010,94,71.96,20,0.0,10000,4.61,,0,801,Clouds,few clouds,0.0,0
New York,40.7143,-74.006,1751374800,America/New_York,-14400,1751374800,1751362115,1751416259,79.63,79.63,1011,86,75.07,100,1.86,10000,3.0,5.01,315,804,Clouds,overcast clouds,0.0,0
New York,40.7143,-74.006,1751389200,America/New_York,-14400,1751389200,1751362115,1751416259,89.04,101.64,1010,68,77.09,40,9.62,10000,7.0,15.01,225,802,Clouds,scattered clouds,0.0,0
New York,40.7143,-74.006,1751403600,America/New_York,-14400,1751403600,1751362116,1751416258,83.01,89.24,1009,73,73.45,40,1.41,10000,5.75,,0,802,Clouds,scattered clouds,0.0,0
New York,40.7143,-74.006,1751418000,America/New_York,-14400,1751418000,1751362115,1751416259,75.15,76.78,1009,94,73.29,75,0.0,8047,1.99,3.0,355,501,Rain,moderate rain,2.73,0
Los Angeles,34.0522,-118.2437,1751346000,America/Los_Angeles,-25200,1751346000,1751287491,1751339297,69.93,69.91,1011,70,59.7,0,0.0,10000,3.85,3.62,198,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751360400,America/Los_Angeles,-25200,1751360400,1751373916,1751425695,65.91,65.68,1011,74,57.4,0,0.0,10000,2.86,3.42,183,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751374800,America/Los_Angeles,-25200,1751374800,1751373916,1751425695,63.91,63.63,1012,77,56.57,0,0.0,10000,2.42,2.68,224,800,Clear,clear sky,0.0,0
Los Angeles,34.0522,-118.2437,1751389200,America/Los_Angeles,-25200,1751389200,1751373916,1751425695,75.9,76.21,1012,64,62.85,1,6.31,10000,5.55,3.78,189,800,Clear,clear sky,0.0,0
