city,latitude,longitude,timestamp,timezone,timezone_offset,datetime,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,weather_id,weather_name,weather_description,rain_1h,snow_1h
Birmingham,33.5207,-86.8025,1751346000,America/Chicago,-18000,1751346000,1751366452,1751418065,296.32,297.15,1017,94,295.3,100,0.0,10000.0,1.54,,170,804,Clouds,overcast clouds,0.0,0
Birmingham,33.5207,-86.8025,1751367600,America/Chicago,-18000,1751367600,1751366452,1751418065,295.71,296.55,1016,97,295.21,75,0.0,10000.0,1.54,,160,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751389200,America/Chicago,-18000,1751389200,1751366452,1751418065,303.9,310.37,1016,71,298.03,75,10.18,10000.0,1.54,,0,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751410800,America/Chicago,-18000,1751410800,1751366452,1751418065,298.08,298.98,1014,90,296.33,100,1.07,10000.0,3.6,,260,804,Clouds,overcast clouds,0.0,0
Birmingham,33.5207,-86.8025,1751259600,America/Chicago,-18000,1751259600,1751280028,1751331667,295.7,296.52,1018,96,295.03,75,0.0,10000.0,0.0,,0,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751281200,America/Chicago,-18000,1751281200,1751280028,1751331667,294.8,295.58,1018,98,294.47,75,0.0,10000.0,0.0,,0,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751302800,America/Chicago,-18000,1751302800,1751280028,1751331667,300.04,303.19,1018,86,297.5,75,10.5,10000.0,0.89,0.89,278,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751324400,America/Chicago,-18000,1751324400,1751280028,1751331667,303.26,309.22,1015,73,297.88,40,1.08,10000.0,3.09,,280,802,Clouds,scattered clouds,0.0,0
Birmingham,33.5207,-86.8025,1751173200,America/Chicago,-18000,1751173200,1751193605,1751245268,297.85,298.62,1019,86,295.35,20,0.0,10000.0,1.54,,150,801,Clouds,few clouds,0.0,0
Birmingham,33.5207,-86.8025,1751194800,America/Chicago,-18000,1751194800,1751193605,1751245268,296.03,296.88,1019,96,295.36,75,0.0,10000.0,1.54,,170,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751216400,America/Chicago,-18000,1751216400,1751193605,1751245268,304.55,310.58,1018,66,297.43,75,8.56,10000.0,2.57,,240,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751238000,America/Chicago,-18000,1751238000,1751193605,1751245268,296.27,297.17,1018,97,295.77,100,0.92,10000.0,2.06,,200,501,Rain,moderate rain,1.78,0
Birmingham,33.5207,-86.8025,1751086800,America/Chicago,-18000,1751086800,1751107183,1751158867,295.07,295.85,1020,97,294.57,75,0.0,10000.0,2.06,,50,501,Rain,moderate rain,2.05,0
Birmingham,33.5207,-86.8025,1751108400,America/Chicago,-18000,1751108400,1751107183,1751158867,294.03,294.71,1020,97,293.54,75,0.0,10000.0,0.0,,0,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751130000,America/Chicago,-18000,1751130000,1751107183,1751158867,302.5,306.66,1022,70,296.46,75,9.77,10000.0,2.06,,280,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751151600,America/Chicago,-18000,1751151600,1751107183,1751158867,304.52,309.34,1017,62,296.36,75,0.85,10000.0,3.6,,310,211,Thunderstorm,thunderstorm,0.0,0
Birmingham,33.5207,-86.8025,1751000400,America/Chicago,-18000,1751000400,1751020762,1751072465,297.88,298.81,1017,92,296.49,83,0.0,10000.0,1.22,1.84,221,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1751022000,America/Chicago,-18000,1751022000,1751020762,1751072465,295.65,296.44,1019,95,294.81,20,0.0,10000.0,0.0,,0,801,Clouds,few clouds,0.0,0
Birmingham,33.5207,-86.8025,1751043600,America/Chicago,-18000,1751043600,1751020762,1751072465,303.52,308.09,1019,66,296.45,40,9.56,10000.0,2.06,,0,802,Clouds,scattered clouds,0.0,0
Birmingham,33.5207,-86.8025,1751065200,America/Chicago,-18000,1751065200,1751020762,1751072465,304.14,307.49,1018,58,294.91,75,0.2,10000.0,2.06,,340,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1750914000,America/Chicago,-18000,1750914000,1750934342,1750986061,299.74,299.74,1018,81,296.21,100,,,2.68,5.36,216,804,Clouds,overcast clouds,0.0,0
Birmingham,33.5207,-86.8025,1750935600,America/Chicago,-18000,1750935600,1750934342,1750986061,294.62,295.33,1019,96,293.96,100,,10000.0,3.09,,360,502,Rain,heavy intensity rain,4.32,0
Birmingham,33.5207,-86.8025,1750957200,America/Chicago,-18000,1750957200,1750934342,1750986061,303.37,307.51,1017,65,296.06,100,,,1.63,2.62,15,804,Clouds,overcast clouds,0.0,0
Birmingham,33.5207,-86.8025,1750978800,America/Chicago,-18000,1750978800,1750934342,1750986061,302.72,307.38,1016,71,296.9,75,,10000.0,4.63,,190,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1750827600,America/Chicago,-18000,1750827600,1750847924,1750899656,299.39,299.39,1021,87,297.05,0,,10000.0,0.0,,0,800,Clear,clear sky,0.0,0
Birmingham,33.5207,-86.8025,1750849200,America/Chicago,-18000,1750849200,1750847924,1750899656,297.2,298.14,1022,95,296.35,20,,10000.0,0.0,,0,801,Clouds,few clouds,0.0,0
Birmingham,33.5207,-86.8025,1750870800,America/Chicago,-18000,1750870800,1750847924,1750899656,306.38,313.38,1020,61,297.84,75,,10000.0,2.06,,340,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1750892400,America/Chicago,-18000,1750892400,1750847924,1750899656,306.1,313.1,1018,64,298.38,75,,10000.0,2.57,,10,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751346000,America/New_York,-14400,1751346000,1751365976,1751415368,299.31,299.31,1020,77,294.96,100,0.0,10000.0,2.57,,30,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1751367600,America/New_York,-14400,1751367600,1751365976,1751415368,298.16,299.01,1019,88,296.03,75,0.1,10000.0,0.0,,0,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751389200,America/New_York,-14400,1751389200,1751365976,1751415368,299.65,299.65,1019,79,295.71,75,11.26,10000.0,7.2,,130,211,Thunderstorm,thunderstorm,4.21,0
Miami,25.7743,-80.1937,1751410800,America/New_York,-14400,1751410800,1751365976,1751415368,302.38,308.54,1017,80,298.57,40,0.42,10000.0,3.6,,130,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1751259600,America/New_York,-14400,1751259600,1751279556,1751328967,298.68,299.27,1019,76,294.14,100,0.0,10000.0,2.06,,50,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1751281200,America/New_York,-14400,1751281200,1751279556,1751328967,299.94,302.76,1019,84,297.01,40,0.11,10000.0,2.57,,80,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1751302800,America/New_York,-14400,1751302800,1751279556,1751328967,305.16,311.51,1020,64,297.49,75,10.86,10000.0,7.2,,100,803,Clouds,broken clouds,0.0,0
