city,id,timezone,longitude,latitude,weather_id,weather_main,weather_description,weather_icon,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,snow_1h,dt,sys_sunrise,sys_sunset,sys_country
Birmingham,4049979,-18000,-86.8025,33.5207,803,Clouds,broken clouds,04d,82.13,89.91,79.45,85.44,1017,83,1017,994,10000,3.44,0,,75,0.0,0.0,1751305176,1751280028,1751331667,US
Miami,4164138,-14400,-80.1937,25.7743,803,Clouds,broken clouds,04d,89.82,101.55,89.01,91.4,1019,64,1019,1019,10000,16.11,100,,75,0.0,0.0,1751304965,1751279556,1751328967,US
New York,5128581,-14400,-74.006,40.7143,800,Clear,clear sky,01d,90.72,94.57,87.76,92.82,1015,47,1015,1013,10000,8.05,180,,0,0.0,0.0,1751304678,1751275686,1751329866,US
Los Angeles,5368361,-25200,-118.2437,34.0522,800,Clear,clear sky,01d,75.61,75.74,68.95,80.51,1012,61,1012,993,10000,5.75,180,,0,0.0,0.0,1751305049,1751287491,1751339297,US
Phoenix,5308655,-25200,-112.074,33.4484,801,Clouds,few clouds,02d,104.74,101.3,102.33,108.0,1006,15,1006,965,10000,5.75,0,,20,0.0,0.0,1751305064,1751286106,1751337721,US
Nashville,4644585,-18000,-86.7844,36.1659,803,Clouds,broken clouds,04d,86.52,96.35,82.65,88.45,1015,70,1015,993,10000,4.61,0,,75,0.0,0.0,1751304747,1751279589,1751332097,US
Dallas,4684904,-18000,-96.7836,32.7668,800,Clear,clear sky,01d,91.49,100.87,89.15,93.78,1016,56,1016,997,10000,5.01,179,13.0,8,0.0,0.0,1751305186,1751282542,1751333945,US
Seattle,5809844,-25200,-122.3321,47.6062,800,Clear,clear sky,01d,75.31,75.27,72.72,78.89,1016,58,1016,1006,10000,7.0,18,8.99,0,0.0,0.0,1751305195,1751285710,1751343041,US
Boise,5586437,-21600,-116.2035,43.6135,800,Clear,clear sky,01d,85.15,82.87,81.88,87.03,1015,29,1015,903,10000,5.75,160,,0,0.0,0.0,1751305200,1751285208,1751340601,US
Denver,5419384,-21600,-104.9847,39.7392,803,Clouds,broken clouds,04d,69.96,69.62,67.35,72.41,1019,63,1019,844,10000,4.0,16,,81,0.0,0.0,1751305222,1751283313,1751337110,US
Atlanta,4180439,-14400,-84.388,33.749,802,Clouds,scattered clouds,03d,85.86,91.54,83.48,88.59,1017,62,1017,983,10000,4.61,340,,40,0.0,0.0,1751304852,1751279412,1751331124,US
Chicago,4887398,-18000,-87.65,41.85,803,Clouds,broken clouds,04d,86.52,91.36,84.27,89.04,1011,58,1011,990,10000,10.36,260,,75,0.0,0.0,1751304955,1751278731,1751333370,US
Kansas City,4393217,-18000,-94.5786,39.0997,804,Clouds,overcast clouds,04d,78.73,78.73,77.34,81.25,1013,78,1013,982,10000,10.36,120,,100,0.0,0.0,1751304946,1751280936,1751334492,US
Salt Lake City,5780993,-21600,-111.8911,40.7608,801,Clouds,few clouds,02d,89.53,86.36,86.38,92.08,1012,24,1012,840,10000,5.01,15,11.99,11,0.0,0.0,1751304945,1751284772,1751338967,US
Minneapolis,5037649,-18000,-93.2638,44.98,801,Clouds,few clouds,02d,80.47,82.51,77.68,82.27,1012,61,1012,981,10000,10.36,260,,20,0.0,0.0,1751305039,1751279388,1751335408,US
